model,lead_days,observations,mae,rmse,bias,interval_coverage
gfs_raw,1,8717,4.066685786394402,4.592329295258105,-4.002810599977057,0.29998852816335897
gfs_bias_corrected,1,8717,1.498129188387823,1.9862035149439299,-0.04366625096677982,0.8485717563381897
gfs_raw,2,8717,4.262406791327291,4.820414934179634,-4.17632212917288,0.29631754043822417
gfs_bias_corrected,2,8717,1.5895397819857626,2.090042191407271,-0.08936486731525722,0.8492600665366525
gfs_raw,3,8717,4.4861879086841805,5.050951249376163,-4.348021108179419,0.30170930365951587
gfs_bias_corrected,3,8717,1.702805477299773,2.227201087014984,-0.2556380376498277,0.8455890788115177
gfs_raw,4,8717,4.621027876563038,5.198862729829164,-4.485522542159,0.2976941608351497
gfs_bias_corrected,4,8717,1.7567832846705422,2.2713376518436177,-0.27143882735625974,0.8499483767351153
gfs_raw,5,8717,4.656223471377768,5.25339366543334,-4.453332568544224,0.31639325456005507
gfs_bias_corrected,5,8717,1.9073747345045182,2.5087061185756125,-0.15877873047474905,0.8283813238499483
gfs_raw,6,8717,4.757141218309052,5.346064114307126,-4.528484570379718,0.32958586669725826
gfs_bias_corrected,6,8717,1.9968617037492464,2.6357005737556745,-0.19021748381915934,0.8366410462315017
gfs_raw,7,8717,4.910542617873121,5.50194934533211,-4.719720087185959,0.3426637604680509
gfs_bias_corrected,7,8717,2.0307371615433727,2.6249666063989854,-0.4147013436851241,0.8699093724905357
