model,horizon,observations,mae,bias,rmse,coverage,mean_interval_width,nominal_coverage,seasonal_naive_mae,mase,skill_vs_seasonal_naive_pct
arima_fourier,1,26,0.628596850006012,-0.17241784903644455,0.8309520161999306,0.6153846153846154,1.3008290263706568,0.9,2.588461538461539,0.24284573700083667,75.71542629991633
arima_fourier,3,26,1.2576020501635996,-0.004723689843317562,1.5200681660415944,1.0,10.063187270075623,0.9,2.161538461538462,0.5818087776557578,41.81912223442422
arima_fourier,7,26,2.5242292653575564,0.1247286756554536,2.926310372779306,0.8076923076923077,6.858970685496623,0.9,3.4346153846153844,0.734937971996601,26.506202800339896
arima_fourier,14,26,1.7949765178890948,0.14532994225506213,2.1774384150488926,0.7307692307692307,5.09088492471929,0.9,2.484615384615385,0.7224363694290473,27.756363057095268
autoregressive_ridge,1,26,0.6226597980628648,-0.25291537945686987,0.8335288492080414,0.6153846153846154,1.092299054189752,0.9,2.588461538461539,0.2405520765176,75.94479234824
autoregressive_ridge,3,26,1.1549467554173158,-0.17799005473645418,1.4429995206674209,1.0,8.92004479760489,0.9,2.161538461538462,0.5343170042855909,46.56829957144091
autoregressive_ridge,7,26,2.498504770493145,-0.18329596220997385,2.8575790180480345,0.5769230769230769,5.0239479074089495,0.9,3.4346153846153844,0.7274481974560109,27.255180254398915
autoregressive_ridge,14,26,1.875376202412049,-0.26420460761618025,2.2378284117158227,0.8846153846153846,6.827838254360529,0.9,2.484615384615385,0.7547953755837967,24.520462441620328
climatology,1,26,1.6552618239904267,-0.30226718432877053,2.155912500683489,0.7692307692307693,5.81296296296297,0.9,2.588461538461539,0.6394770791047709,36.05229208952291
climatology,3,26,1.4529233898804306,-0.20429902154803453,1.7972980772156333,1.0,7.970491803278691,0.9,2.161538461538462,0.6721709632898788,32.78290367101212
climatology,7,26,2.418871946182962,-0.1710146555673152,2.8564748950038683,0.7307692307692307,5.481967213114755,0.9,3.4346153846153844,0.7042628286758904,29.57371713241096
climatology,14,26,1.8190778450079108,-0.16482895857102403,2.1621896629468393,1.0,8.288421052631604,0.9,2.484615384615385,0.732136593966032,26.786340603396795
harmonic_ridge,1,26,1.6674140434485005,-0.47844412892295896,2.0230247327346196,0.4230769230769231,2.7988390316839187,0.9,2.588461538461539,0.6441718444228975,35.58281555771025
harmonic_ridge,3,26,1.3483179003862167,-0.40651742162443166,1.6801640718230493,1.0,8.935776315651427,0.9,2.161538461538462,0.623776964591488,37.6223035408512
harmonic_ridge,7,26,2.4167072619333103,-0.36520878145931335,2.8946774403477615,0.6923076923076923,6.633121342784549,0.9,3.4346153846153844,0.7036325734632259,29.636742653677405
harmonic_ridge,14,26,1.9649521097441682,-0.3467149100769128,2.32777615935548,0.7307692307692307,6.003337401351729,0.9,2.484615384615385,0.7908475983490458,20.915240165095415
hist_gradient_boosting,1,26,0.7397653518536648,-0.27193985488849404,0.9814230691467183,0.8461538461538461,2.9265022911963183,0.9,2.588461538461539,0.2857934494531245,71.42065505468756
hist_gradient_boosting,3,26,1.283917250241962,-0.2061217335485832,1.5724819094747744,0.8846153846153846,5.4677584850656835,0.9,2.161538461538462,0.5939830695069575,40.60169304930425
hist_gradient_boosting,7,26,2.407186264103796,-0.02496805903467238,2.799698114970791,0.8461538461538461,7.333478391879873,0.9,3.4346153846153844,0.7008605024266372,29.913949757336276
hist_gradient_boosting,14,26,1.9140485377307985,0.5151507174109012,2.430609051300181,0.9230769230769231,9.192968872930265,0.9,2.484615384615385,0.7703600925851509,22.963990741484906
random_forest,1,26,0.7345954487838883,-0.2024827156643622,0.9096193981994625,0.9230769230769231,3.0751054221377814,0.9,2.588461538461539,0.2837961614915467,71.62038385084533
random_forest,3,26,1.2745411811241287,0.10089618320122458,1.4942353482563144,0.9615384615384616,6.21219780494132,0.9,2.161538461538462,0.589645386285184,41.035461371481595
random_forest,7,26,2.41528185125648,0.10256334423375851,2.8145662644360376,0.7692307692307693,6.740858403659176,0.9,3.4346153846153844,0.7032175602762428,29.678243972375718
random_forest,14,26,1.9319273969223834,0.3580567969305735,2.453435708303661,0.9230769230769231,9.524633059346932,0.9,2.484615384615385,0.7775559182659746,22.24440817340254
seasonal_naive_365,1,26,2.588461538461539,-0.22692307692307653,3.391561927444685,0.7692307692307693,8.0,0.9,2.588461538461539,1.0,0.0
seasonal_naive_365,3,26,2.161538461538462,-0.3384615384615385,2.758343984796229,0.7692307692307693,7.6000000000000005,0.9,2.161538461538462,1.0,0.0
seasonal_naive_365,7,26,3.4346153846153844,-0.9115384615384614,4.293779042002332,0.7692307692307693,9.600000000000001,0.9,3.4346153846153844,1.0,0.0
seasonal_naive_365,14,26,2.484615384615385,-0.17692307692307685,3.2714381688040035,0.9615384615384616,14.0,0.9,2.484615384615385,1.0,0.0
validation_ensemble,1,26,0.8228192126927995,-0.30125911913875814,1.0751239607016796,0.6923076923076923,1.5058638652874237,0.9,2.588461538461539,0.3178796364043504,68.21203635956496
validation_ensemble,3,26,1.1897465204388724,-0.19641038873473432,1.4125907181033093,1.0,9.306336127777314,0.9,2.161538461538462,0.5504165397048163,44.95834602951837
validation_ensemble,7,26,2.4525898212100077,-0.14125868933794467,2.838527882242828,0.6923076923076923,6.172013311896709,0.9,3.4346153846153844,0.71407990315185,28.592009684815
validation_ensemble,14,26,1.803239081226962,-0.15519652514601062,2.17799342328561,0.6923076923076923,5.628536546636113,0.9,2.484615384615385,0.725761859317353,27.423814068264697
