model,candidate_id,validation_mae,params
autoregressive_ridge,6,0.9191765260022422,"{""alpha"": 1.0, ""fourier_order"": 4, ""lags"": [0, 1, 2, 3, 6, 13, 29], ""windows"": [3, 7, 14, 30]}"
autoregressive_ridge,2,0.9281900089300819,"{""alpha"": 0.1, ""fourier_order"": 4, ""lags"": [0, 1, 2, 3, 6, 13, 29], ""windows"": [3, 7, 14, 30]}"
autoregressive_ridge,0,0.9421850360742261,"{""alpha"": 0.1, ""fourier_order"": 2, ""lags"": [0, 1, 2, 3, 6, 13, 29], ""windows"": [3, 7, 14, 30]}"
autoregressive_ridge,10,0.9470786050491204,"{""alpha"": 10.0, ""fourier_order"": 4, ""lags"": [0, 1, 2, 3, 6, 13, 29], ""windows"": [3, 7, 14, 30]}"
autoregressive_ridge,4,0.9642190544677454,"{""alpha"": 1.0, ""fourier_order"": 2, ""lags"": [0, 1, 2, 3, 6, 13, 29], ""windows"": [3, 7, 14, 30]}"
arima_fourier,5,0.9745974871406683,"{""fourier_order"": 4, ""order"": [2, 1, 1]}"
autoregressive_ridge,7,0.9832926947668108,"{""alpha"": 1.0, ""fourier_order"": 4, ""lags"": [0, 1, 2, 6, 13, 29, 364], ""windows"": [3, 7, 14, 30]}"
autoregressive_ridge,3,0.9891997273429585,"{""alpha"": 0.1, ""fourier_order"": 4, ""lags"": [0, 1, 2, 6, 13, 29, 364], ""windows"": [3, 7, 14, 30]}"
autoregressive_ridge,8,1.0615077705943892,"{""alpha"": 10.0, ""fourier_order"": 2, ""lags"": [0, 1, 2, 3, 6, 13, 29], ""windows"": [3, 7, 14, 30]}"
arima_fourier,1,1.1231511882872092,"{""fourier_order"": 4, ""order"": [1, 0, 1]}"
autoregressive_ridge,11,1.1372144620795352,"{""alpha"": 10.0, ""fourier_order"": 4, ""lags"": [0, 1, 2, 6, 13, 29, 364], ""windows"": [3, 7, 14, 30]}"
arima_fourier,3,1.1386602965457988,"{""fourier_order"": 4, ""order"": [2, 0, 1]}"
harmonic_ridge,2,1.1655158931607579,"{""alpha"": 0.1, ""fourier_order"": 6, ""lags"": [], ""windows"": []}"
