model,horizon,observations,mae,bias,rmse,coverage
gru,1,2892,0.45759840897010085,0.11766899332795777,0.6071689001885263,0.9398340248962656
gru,3,2892,0.7164842114573856,-0.07386177390772536,0.9449572080033257,0.921161825726141
gru,6,2892,0.9373207948844298,0.08027112706568289,1.2543416632244355,0.936030428769018
gru,12,2892,1.0865433690129143,0.033814778878646555,1.4509110153717777,0.9367219917012448
gru,24,2892,1.1670245526572316,-0.04228451266822918,1.6040510601855578,0.9239280774550485
gru,72,2892,1.6638439289432014,0.09609872168690065,2.2314014117443275,0.9107883817427386
gru,168,2892,1.9941148976402494,0.19460402509483615,2.626606413258045,0.8827800829875518
lstm,1,2892,0.4437736265392226,0.09127051891297938,0.5988788439168522,0.9215076071922544
lstm,3,2892,0.716863791642512,0.06212390194625179,0.9493537459545764,0.9221991701244814
lstm,6,2892,0.9787732109654164,0.19926080738360516,1.3163538423677694,0.919432918395574
lstm,12,2892,1.1547558105667928,0.14681726644642681,1.5117068187925595,0.9242738589211619
lstm,24,2892,1.1614241266151681,-0.01997148833993658,1.5936607304243948,0.91701244813278
lstm,72,2892,1.6751510309645414,0.20880456048258506,2.227210972815005,0.9132088520055325
lstm,168,2892,1.9885745458253357,0.2139735161681069,2.614829190490518,0.8845089903181189
neural_ensemble,1,2892,0.4351149765287693,0.10446975612046863,0.5836912381910616,0.9298063623789765
neural_ensemble,3,2892,0.7008966524076659,-0.00586893598073675,0.9295552581219226,0.9221991701244814
neural_ensemble,6,2892,0.9423525271573997,0.13976596722464407,1.2652332936179331,0.9298063623789765
neural_ensemble,12,2892,1.1033339582043562,0.09031602266253672,1.4607005314690007,0.9298063623789765
neural_ensemble,24,2892,1.151102789787171,-0.031128000504082824,1.5846510867558843,0.9187413554633471
neural_ensemble,72,2892,1.657398448527931,0.1524516410847429,2.2160966766885832,0.9135546334716459
neural_ensemble,168,2892,1.9811348907680433,0.2042887706314716,2.6092395575670566,0.8817427385892116
persistence,1,2892,0.4780774635892686,-0.14661135960416685,0.682831372331916,0.8426694329183956
persistence,3,2892,2.3836445697115667,-0.4931881235678001,3.007066962413113,0.898686030428769
persistence,6,2892,4.117876909085823,0.0014868603702402714,5.4300865765351,0.898686030428769
persistence,12,2892,6.810719217831993,0.0024204699330310116,7.549594441503419,0.906984785615491
persistence,24,2892,1.2528354424164008,0.003941908581787785,1.7242354001308826,0.9183955739972337
persistence,72,2892,2.0121023539520726,0.009059473851574575,2.7045144614504513,0.911134163208852
persistence,168,2892,2.5510373735493808,-0.008160443226826136,3.369078779775887,0.8872752420470262
weekly_naive,1,2892,2.4953319515265204,0.012897647597812843,3.293326495164518,0.8955739972337483
weekly_naive,3,2892,2.491113443097633,0.012067772705690167,3.266171077091966,0.8907330567081605
weekly_naive,6,2892,2.556639036532095,0.013900412728347893,3.3711831448942675,0.8914246196403873
weekly_naive,12,2892,2.5554633796792143,0.015076069581228342,3.3705553594771818,0.8914246196403873
weekly_naive,24,2892,2.5541494100420308,0.016390039218411905,3.370043402054005,0.8914246196403873
weekly_naive,72,2892,2.548686062316842,0.023928074421229708,3.365773377997144,0.8917704011065007
weekly_naive,168,2892,2.5510373735493808,-0.008160443226826136,3.369078779775887,0.8872752420470262
