model,epoch,train_loss,validation_loss
gru_h32_l1,1,0.4851375153522313,0.23893773695711273
gru_h32_l1,2,0.19845805266658417,0.18736276886739783
gru_h32_l1,3,0.1654733217050705,0.16626077890396118
gru_h64_l1,1,0.315788513548722,0.1849516286869734
gru_h64_l1,2,0.16142753934126539,0.1621487188405095
gru_h64_l1,3,0.14771535492016932,0.15328737286572958
lstm_h32_l1,1,0.5115560463530192,0.24449036422684706
lstm_h32_l1,2,0.19842718915109178,0.18234351071534236
lstm_h32_l1,3,0.16339259138753928,0.1656022694229421
lstm_h64_l1,1,0.34046742779332245,0.18780316058443397
lstm_h64_l1,2,0.16068380856961548,0.1604966391186688
lstm_h64_l1,3,0.14541970576836155,0.15001187469419194
gru_final_refit,1,0.3507863233226537,
gru_final_refit,2,0.1591312889783449,
gru_final_refit,3,0.1463730615425391,
gru_final_refit,4,0.14120692672909008,
gru_final_refit,5,0.13799597282877193,
lstm_final_refit,1,0.29322351664439517,
lstm_final_refit,2,0.1545157479149877,
lstm_final_refit,3,0.14449914298652544,
lstm_final_refit,4,0.1404376652265219,
lstm_final_refit,5,0.13833882169777276,
